wavelength,scan1-2,scan2-2,absorbance2,scan1-4,scan2-4,absorbance4
,,,,,,
3997.10764,0.00018,0.0003,0.00024,0.00015,0.00013,0.00014
3995.04728,0.00024,0.00038,0.00031,0.00006,0.00006,0.00006
3992.98691,0.00019,0.00038,0.000285,0.00012,0.00009,0.000105
3990.92655,0.00004,0.00023,0.000135,0.00029,0.00039,0.00034
3988.86618,0,0.0001,0.00005,0.00035,0.00059,0.00047
3986.80582,0.00004,0,0.00002,0.00028,0.00051,0.000395
3984.74545,0.00003,0.00002,0.000025,0.00028,0.00041,0.000345
3982.68509,0.00003,0.00013,0.00008,0.00045,0.00041,0.00043
3980.62472,0.00005,0.00024,0.000145,0.00061,0.00042,0.000515
3978.56436,0.00004,0.00041,0.000225,0.00063,0.00045,0.00054
3976.50399,0.00007,0.00051,0.00029,0.00058,0.00047,0.000525
3974.44363,0.00019,0.00052,0.000355,0.00043,0.00037,0.0004
3972.38326,0.00028,0.00048,0.00038,0.0002,0.00016,0.00018
3970.3229,0.00024,0.00035,0.000295,0,0,0
3968.26253,0.0002,0.00033,0.000265,-0.00005,0.00001,-0.00002
3966.20217,0.00028,0.00047,0.000375,-0.00001,0.0001,0.000045
3964.1418,0.00038,0.00054,0.00046,0.00004,0.00021,0.000125
3962.08144,0.00031,0.00045,0.00038,0.00015,0.0004,0.000275
3960.02108,0.00019,0.00035,0.00027,0.00027,0.00051,0.00039
3957.96071,0.00016,0.00034,0.00025,0.00034,0.00047,0.000405
3955.90035,0.00023,0.00045,0.00034,0.00043,0.00047,0.00045
3953.83998,0.00034,0.00063,0.000485,0.00037,0.00051,0.00044
3951.77962,0.00036,0.00074,0.00055,0.00014,0.00052,0.00033
3949.71925,0.00033,0.00082,0.000575,0,0.00043,0.000215
3947.65889,0.00026,0.0009,0.00058,0,0.00022,0.00011
3945.59852,0.00018,0.00099,0.000585,0.00014,0.00017,0.000155
3943.53816,0.0002,0.00098,0.00059,0.0004,0.00033,0.000365
3941.47779,0.00029,0.00075,0.00052,0.00055,0.00044,0.000495
3939.41743,0.00037,0.00053,0.00045,0.00046,0.00046,0.00046
3937.35706,0.0004,0.00046,0.00043,0.00035,0.0005,0.000425
3935.2967,0.00023,0.00042,0.000325,0.00042,0.00057,0.000495
3933.23633,0.00004,0.00045,0.000245,0.00057,0.00064,0.000605
3931.17597,0.00009,0.00053,0.00031,0.00058,0.00064,0.00061
3929.1156,0.00034,0.0006,0.00047,0.00046,0.00057,0.000515
3927.05524,0.00065,0.00075,0.0007,0.00042,0.00045,0.000435
3924.99487,0.00074,0.00091,0.000825,0.00043,0.00038,0.000405
3922.93451,0.00054,0.001,0.00077,0.00046,0.00046,0.00046
3920.87414,0.00039,0.00099,0.00069,0.00053,0.00057,0.00055
3918.81378,0.00037,0.00085,0.00061,0.00058,0.00054,0.00056
3916.75342,0.00026,0.00058,0.00042,0.00053,0.00038,0.000455
3914.69305,0.00011,0.0004,0.000255,0.00046,0.00031,0.000385
3912.63269,0.0002,0.0005,0.00035,0.0005,0.00039,0.000445
3910.57232,0.00033,0.00072,0.000525,0.00053,0.00047,0.0005
3908.51196,0.0003,0.00086,0.00058,0.00045,0.0004,0.000425
3906.45159,0.00022,0.00091,0.000565,0.00038,0.00028,0.00033
3904.39123,0.00025,0.00099,0.00062,0.00055,0.00027,0.00041
3902.33086,0.00049,0.00109,0.00079,0.00081,0.00033,0.00057
3900.2705,0.00065,0.0009,0.000775,0.0009,0.00042,0.00066
3898.21013,0.0006,0.0005,0.00055,0.00083,0.0005,0.000665
3896.14977,0.00043,0.00035,0.00039,0.00069,0.00053,0.00061
3894.0894,0.00028,0.00045,0.000365,0.00053,0.00046,0.000495
3892.02904,0.00025,0.00056,0.000405,0.0004,0.00032,0.00036
3889.96867,0.00035,0.00058,0.000465,0.00036,0.00034,0.00035
3887.90831,0.0005,0.00077,0.000635,0.00037,0.00049,0.00043
3885.84794,0.00061,0.00114,0.000875,0.00034,0.00056,0.00045
3883.78758,0.00056,0.00125,0.000905,0.00042,0.00053,0.000475
3881.72721,0.00048,0.00105,0.000765,0.00064,0.00053,0.000585
3879.66685,0.00033,0.00078,0.000555,0.00074,0.00051,0.000625
3877.60648,0.00013,0.0006,0.000365,0.0007,0.00047,0.000585
3875.54612,0.00005,0.00055,0.0003,0.00076,0.00053,0.000645
3873.48576,0.00006,0.00056,0.00031,0.00086,0.00067,0.000765
3871.42539,0.00021,0.0007,0.000455,0.00084,0.00078,0.00081
3869.36503,0.00048,0.00096,0.00072,0.00072,0.00068,0.0007
3867.30466,0.00063,0.00109,0.00086,0.0006,0.00045,0.000525
3865.2443,0.00053,0.00098,0.000755,0.00048,0.00035,0.000415
3863.18393,0.00031,0.00071,0.00051,0.0004,0.00041,0.000405
3861.12357,0.00023,0.00053,0.00038,0.00046,0.00052,0.00049
3859.0632,0.00027,0.00052,0.000395,0.00056,0.00059,0.000575
3857.00284,0.00038,0.00062,0.0005,0.00054,0.0006,0.00057
3854.94247,0.00044,0.00078,0.00061,0.00031,0.00047,0.00039
3852.88211,0.00028,0.00069,0.000485,0,0.00011,0.000055
3850.82174,0.00025,0.00047,0.00036,0.00014,0,0.00007
3848.76138,0.00034,0.0005,0.00042,0.00038,0.00013,0.000255
3846.70101,0.00034,0.00071,0.000525,0.00038,0.00019,0.000285
3844.64065,0.0003,0.00092,0.00061,0.0003,0.00014,0.00022
3842.58028,0.00025,0.00101,0.00063,0.00034,0.00016,0.00025
3840.51992,0.00026,0.00107,0.000665,0.0004,0.00024,0.00032
3838.45955,0.00034,0.00108,0.00071,0.00045,0.00033,0.00039
3836.39919,0.00035,0.00088,0.000615,0.00054,0.00037,0.000455
3834.33882,0.00036,0.00071,0.000535,0.00058,0.00034,0.00046
3832.27846,0.00041,0.00061,0.00051,0.00058,0.00044,0.00051
3830.2181,0.00025,0.00032,0.000285,0.00058,0.00056,0.00057
3828.15773,0,0,0,0.00049,0.00052,0.000505
3826.09737,0.00004,0.00003,0.000035,0.00035,0.00034,0.000345
3824.037,0.00028,0.00044,0.00036,0.00038,0.00023,0.000305
3821.97664,0.00042,0.00082,0.00062,0.00061,0.00036,0.000485
3819.91627,0.00039,0.00092,0.000655,0.00078,0.00058,0.00068
3817.85591,0.00036,0.00086,0.00061,0.00084,0.00069,0.000765
3815.79554,0.00042,0.00076,0.00059,0.00088,0.00071,0.000795
3813.73518,0.00052,0.00065,0.000585,0.00096,0.00067,0.000815
3811.67481,0.00064,0.00066,0.00065,0.00102,0.00065,0.000835
3809.61445,0.00074,0.00081,0.000775,0.00085,0.00066,0.000755
3807.55408,0.00057,0.00098,0.000775,0.00051,0.00065,0.00058
3805.49372,0.00035,0.00097,0.00066,0.00046,0.00071,0.000585
3803.43335,0.00043,0.00085,0.00064,0.00056,0.00065,0.000605
3801.37299,0.00066,0.00079,0.000725,0.00039,0.00026,0.000325
3799.31262,0.0008,0.00093,0.000865,0.00027,0.00002,0.000145
3797.25226,0.00078,0.00096,0.00087,0.00029,0.00009,0.00019
3795.19189,0.00068,0.00081,0.000745,0.00026,0.00011,0.000185
3793.13153,0.00056,0.00067,0.000615,0.00029,0.0001,0.000195
3791.07116,0.00039,0.00054,0.000465,0.00039,0.00011,0.00025
3789.0108,0.0003,0.00052,0.00041,0.00051,0.00008,0.000295
3786.95044,0.00027,0.00058,0.000425,0.00055,0.00007,0.00031
3784.89007,0.00023,0.00055,0.00039,0.00046,0.00013,0.000295
3782.82971,0.00032,0.00054,0.00043,0.00054,0.00035,0.000445
3780.76934,0.00045,0.00066,0.000555,0.0007,0.00055,0.000625
3778.70898,0.00042,0.00073,0.000575,0.00064,0.00051,0.000575
3776.64861,0.00033,0.00073,0.00053,0.00055,0.00038,0.000465
3774.58825,0.00029,0.00061,0.00045,0.00051,0.00035,0.00043
3772.52788,0.00026,0.00042,0.00034,0.00046,0.00036,0.00041
3770.46752,0.00035,0.00036,0.000355,0.00051,0.00032,0.000415
3768.40715,0.00059,0.00056,0.000575,0.00064,0.00033,0.000485
3766.34679,0.00075,0.00088,0.000815,0.00071,0.00046,0.000585
3764.28642,0.00066,0.00095,0.000805,0.00063,0.0005,0.000565
3762.22606,0.00044,0.00082,0.00063,0.00054,0.00042,0.00048
3760.16569,0.00036,0.00078,0.00057,0.00061,0.00036,0.000485
3758.10533,0.00048,0.00079,0.000635,0.00065,0.0004,0.000525
3756.04496,0.0006,0.00075,0.000675,0.00058,0.00054,0.00056
3753.9846,0.0007,0.00079,0.000745,0.00054,0.00061,0.000575
3751.92423,0.00066,0.00082,0.00074,0.00056,0.00051,0.000535
3749.86387,0.00039,0.00059,0.00049,0.00073,0.00048,0.000605
3747.8035,0.00027,0.00039,0.00033,0.00086,0.00052,0.00069
3745.74314,0.00022,0.00041,0.000315,0.00074,0.00037,0.000555
3743.68278,0.00005,0.0005,0.000275,0.00065,0.00013,0.00039
3741.62241,0,0.00052,0.00026,0.00075,0.00009,0.00042
3739.56205,0.0002,0.00066,0.00043,0.0007,0.0001,0.0004
3737.50168,0.00055,0.001,0.000775,0.00049,0.00013,0.00031
3735.44132,0.00071,0.00106,0.000885,0.00041,0.00029,0.00035
3733.38095,0.00061,0.00057,0.00059,0.00049,0.00039,0.00044
3731.32059,0.00057,0.0004,0.000485,0.00058,0.00033,0.000455
3729.26022,0.00048,0.00057,0.000525,0.00059,0.00029,0.00044
3727.19986,0.00034,0.00065,0.000495,0.00047,0.00022,0.000345
3725.13949,0.00043,0.00081,0.00062,0.00028,0.00015,0.000215
3723.07913,0.00058,0.00099,0.000785,0.00022,0.00013,0.000175
3721.01876,0.00053,0.00089,0.00071,0.00033,0.00008,0.000205
3718.9584,0.00044,0.00061,0.000525,0.00045,0.00007,0.00026
3716.89803,0.00038,0.00041,0.000395,0.00053,0.00019,0.00036
3714.83767,0.00025,0.00037,0.00031,0.00052,0.00036,0.00044
3712.7773,0.0001,0.00051,0.000305,0.00036,0.00041,0.000385
3710.71694,0.00014,0.00068,0.00041,0.0002,0.00026,0.00023
3708.65657,0.00023,0.00057,0.0004,0.00023,0.00015,0.00019
3706.59621,0.00013,0.00035,0.00024,0.00029,0.00024,0.000265
3704.53584,0.00005,0.0003,0.000175,0.00042,0.00051,0.000465
3702.47548,0.00006,0.00036,0.00021,0.00062,0.00076,0.00069
3700.41512,0.00014,0.00041,0.000275,0.00064,0.00079,0.000715
3698.35475,0.00025,0.00047,0.00036,0.00058,0.00076,0.00067
3696.29439,0.00028,0.00055,0.000415,0.00056,0.00077,0.000665
3694.23402,0.00033,0.0007,0.000515,0.00065,0.00089,0.00077
3692.17366,0.00054,0.00101,0.000775,0.00084,0.00108,0.00096
3690.11329,0.00075,0.00119,0.00097,0.00084,0.00096,0.0009
